UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION,BUILDING,LAT,LONG
2016-00000005,2016-01-01 00:13:00,2016-01-01 00:13:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00000048,2016-01-01 02:56:00,2016-01-01 02:56:00,DWI/DUI,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00000050,2016-01-01 03:18:00,2016-01-01 03:18:00,Traffic Arrest,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00000055,2016-01-01 03:55:00,2016-01-01 03:55:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00000058,2016-01-01 04:31:00,2016-01-01 04:31:00,DWI/DUI,Arrest,College Ave,,38.9804379,-76.9303192
2016-00000105,2016-01-01 10:14:00,2016-01-01 10:14:00,Damage to State Property,CBE,4646 Norwich Rd,"Leonardtown #242, Leonardtown",38.98269910000001,-76.9320704
2016-00000356,2016-01-01 23:01:00,2016-01-01 23:01:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00000881,2016-01-02 12:00:00,2016-01-03 11:07:00,Dept Property Damage/Loss,Active/Pending,4155 Terrapin Trl,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG",38.9952867,-76.94265469999998
2016-00000897,2016-01-03 13:39:00,2016-01-03 13:39:00,CDS Violation,Arrest,Baltimore Ave,,38.997626200000006,-76.9315953
2016-00001189,2015-12-28 08:00:00,2016-01-04 07:56:00,Theft,Suspended,4176 Campus Dr,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall",38.9879143,-76.93866729999998
2016-00001214,2015-12-23 13:17:00,2016-01-04 10:33:00,Theft,Suspended,35 Library La,,38.9859704,-76.9450882
2016-00001215,2016-01-01 00:00:00,2016-01-04 10:38:00,Vandalism,Active/Pending,4250 Lehigh Rd,"Commons 1, SCC 1, South Campus Commons 1",38.9818,-76.94291799999998
2016-00001233,2016-01-04 13:41:00,2016-01-04 13:41:00,CDS Violation,Arrest,49th Ave,,39.00424810000001,-76.9259941
2016-00001243,2015-12-30 13:00:00,2016-01-04 15:01:00,Theft,Suspended,36 Field House Dr,,38.9887767,-76.94529720000001
2016-00001275,2015-12-23 16:33:00,2016-01-04 16:33:00,Fraud,Active/Pending,4125 N Library Ln,Jimenez Hall,38.9866466,-76.94511059999998
2016-00001289,2016-01-04 17:28:00,2016-01-04 17:28:00,Hazardous Condition,CBE,4298 Campus Dr,Martin Hall,38.9882089,-76.93779239999998
2016-00001429,2016-01-04 22:52:00,2016-01-04 22:52:00,Trespassing,CBE,8051 Regents Dr,"Chemistry, Chemistry Building",38.9892916,-76.9406525
2016-00001511,2016-01-05 05:23:00,2016-01-05 05:23:00,Damage to State Property,CBE,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2016-00001555,2016-01-04 14:47:00,2016-01-05 12:47:00,Suspicious Activity,Unfounded,7569 Baltimore Ave,"Pocomoke Building, Police, UMDPS, UMPD",38.982924,-76.9375941
2016-00001557,2016-01-05 12:59:00,2016-01-05 12:59:00,Fraud,CBE,7559 Yale Ave,"Leonardtown #250, Leonardtown Community Center",38.983446799999996,-76.93389379999998
